Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
SelectLocation-1653946503582,1,136,136,136,136,136,136,136,0.000%,7.35294,14.86,12.57
GetLocationsInRange-1653946503619,1,126,126,126,126,126,126,126,0.000%,7.93651,11.24,13.68
BookBookable-1653946503582,1,181,181,181,181,181,181,181,0.000%,5.52486,24.33,17.97
SelectLocationPath-1653946503731,1,70,70,70,70,70,70,70,0.000%,14.28571,48.27,23.95
GetLocations-1653946503707,1,126,126,126,126,126,126,126,0.000%,7.93651,16.03,13.05
SelectLocation-1653946503707,1,140,140,140,140,140,140,140,0.000%,7.14286,14.44,12.21
CheckBookingsDateType-1653946503726,1,134,134,134,134,134,134,134,0.000%,7.46269,9.33,12.64
SelectLocation-1653946503697,1,166,166,166,166,166,166,166,0.000%,6.02410,12.18,10.30
GetLocationsInRange-1653946503723,1,143,143,143,143,143,143,143,0.000%,6.99301,9.90,12.05
TokenizedLogin-1653946499975,1,3892,3892,3892,3892,3892,3892,3892,0.000%,.25694,4.70,0.92
